Apartment,sqft_Floor_Area,Bedrooms,Attached_Bathrooms,Balcony,Pantry_and_Kitechen,Living_area_Launch,Made_s_room,Washing_Room,Store_Room,A_C,TwentyFour_hours_Security,Swimming_pool,Gym,Roof_Terrace,Location,Car_parkings,price_Million
Shangri La Apartment 2 Bedroom Furnished Apartment...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,80.35714286
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,6200,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,79.71428571
The One Gall face residence (Shangri-La) For Sale...,6200,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,77.14285714
Move into one of the finest units at Shangri-La...,3522,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,76.71428571
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,75
2 Bedroom Apartment for Sale in One Galle Face...,4800,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,75
Shangri-la Apartment for Sale,4470,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,75
Luxury Apartment For Sale In One Galle Face -...,3200,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,75
Brand New 02 Bedroom Untouched Apartment for sale...,3500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,75
Luxury Apartment For Sale in Colombo 1,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,75
Apartment for Sale in Shangri-la Residence / One...,1800,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,75
Two bedrooms apartment for sale in Shangri-la...,2240,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,75
"447 Luna Tower - Union Place, Colombo 02 | Type...",2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,75
"447 Luna Tower - Union Place, Colombo 02 - Type...",6688,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Cinnamon Garden,3,75
Beira / Ocean View Luxury Apartment at Capitol...,2390,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.85714286
447 Luna Tower - Type C2 (2 bedrooms),3155,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.64285714
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.64285714
"Altair, 03 Bedroom Unfurnished Appartment for...",2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.64285714
"Altair, 03 Bedroom Unfurnished Appartment for...",3730,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.64285714
"On320, 02 Bedroom Fully Furnished Apartment For...",4111,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.64285714
"Shangril-La, 02 Bedroom Unfurnished Apartment...",1806,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.64285714
OnThree20 03 Bedroom Furnished Apartment for Sale...,2251,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.64285714
OnThree20 03 BedRoom Furnished Apartment for Sale...,2600,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.64285714
OnThree20 03 BedRoom Furnished Apartment for Sale...,2300,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.53571429
Apartment for Sale - The Residences at One Galle...,2450,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.42857143
Shangri La Apartment 2 Bedroom Furnished Apartment...,3675,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.32142857
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,2000,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.10714286
2BR Quality Modern Luxury Living at the Heart...,3600,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.10714286
The One Gall face residence (Shangri-La) For Sale...,4235,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.10714286
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,2800,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.10714286
Move into one of the finest units at Shangri-La...,2800,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39.10714286
"Penthouses in Colombo for sale Shangri-La, CCC,...",4235,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,39
2 Bedroom Apartment for Sale in One Galle Face...,4104,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
Shangri-la Apartment for Sale,2550,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
Luxury Apartment For Sale In One Galle Face -...,2409,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,3595,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
Colombo 1 One Galle Face 4BR Apartment F...,3900,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
Brand New 02 Bedroom Untouched Apartment for sale...,4104,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
SHANGRI-LA Two Bedroom Apartment For Sale,4500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
Luxury Apartment For Sale in Colombo 1,2250,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
Apartment for Sale in Shangri-la Residence / One...,2403,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
Two bedrooms apartment for sale in Shangri-la...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
"447 Luna Tower - Union Place, Colombo 02 | Type...",2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
447 Luna Tower - Type D (3 bedrooms),2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
1 Bedroom Apartment For Sale In Colombo 2 For...,2000,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.57142857
Colombo.02 Shangri La 02 Bedroom Apartment For...,3596,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.46428571
OnThree20 - 04 Bedroom Apartment for Sa...,2900,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.46428571
Altair 4 Bedroom Luxurious Apartment for Sale...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.35714286
On320 2 Bedroom Furnished Apartment for ...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,38.03571429
Cinnamon Life 2 Bedroom Luxuriously Furnished...,2461,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.82142857
Cinnamon Life Fully Furnished 2 Bed Apartment...,3210,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.82142857
55 Million value Apartment selling for 50 Million...,3179,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.60714286
Best Price | 2 bedroom large layout | furnished...,3095,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Luxury Apartment for Sale in Colombo 2 CA585,3200,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,2200,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,2460,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Luxury 4 Bedroom apartment for sale in Colombo...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
3bed with 2 car parks at On320,3125,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Furnished Brand New - 3 Bedrooms At Altair,1865,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Beira / Ocean View Luxury Apartment at Capitol...,3500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
447 Luna Tower - Type D (3 bedrooms),3024,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
"Altair, 03 Bedroom Unfurnished Appartment for...",4355,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
"Altair, 03 Bedroom Unfurnished Appartment for...",1750,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
"On320, 02 Bedroom Fully Furnished Apartment For...",2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
"Shangril-La, 02 Bedroom Unfurnished Apartment...",3100,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
OnThree20 03 BedRoom Furnished Apartment for Sale...,2500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
447 Luna Tower 02 Bedroom Unfurnished Apartment...,2500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
OnThree20 03 BedRoom Furnished Apartment for Sale...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Apartment for Sale - The Residences at One Galle...,5720,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Shangri La Apartment 2 Bedroom Furnished Apartment...,2665,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,3500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
2BR Quality Modern Luxury Living at the Heart...,3060,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
The One Gall face residence (Shangri-La) For Sale...,2700,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,2200,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Move into one of the finest units at Shangri-La...,2700,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
"Penthouses in Colombo for sale Shangri-La, CCC,...",3500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",1800,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Shangri-la Apartment for Sale,3200,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Luxury Apartment For Sale In One Galle Face -...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,4025,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Colombo 1 One Galle Face 4BR Apartment F...,3090,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Brand New 02 Bedroom Untouched Apartment for sale...,3200,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
SHANGRI-LA Two Bedroom Apartment For Sale,2214,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Luxury Apartment For Sale in Colombo 1,2214,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
Apartment for Sale in Shangri-la Residence / One...,4800,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
CINNAMON LIFE Three Bedroom Apartment for sale...,1750,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.5
"447 Luna Tower - Union Place, Colombo 02 | Type...",3131,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.39285714
"447 Luna Tower - Union Place, Colombo 02 - Type...",3124,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.39285714
447 Luna Tower - Type D (3 bedrooms),3450,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.28571429
1 Bedroom Apartment For Sale In Colombo 2 For...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.28571429
Colombo.02 Shangri La 02 Bedroom Apartment For...,2176,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,37.28571429
OnThree20 - 04 Bedroom Apartment for Sa...,4051,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.96428571
On320 2 Bedroom Furnished Apartment for ...,3436,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.96428571
Cinnamon Life 2 Bedroom Luxuriously Furnished...,4041,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.96428571
Cinnamon Life Fully Furnished 2 Bed Apartment...,3126,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.96428571
55 Million value Apartment selling for 50 Million...,4500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.96428571
Best Price | 2 bedroom large layout | furnished...,2500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.96428571
Luxury Apartment for Sale in Colombo 2 CA585,4408,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.85714286
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.85714286
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,2850,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.75
Luxury 4 Bedroom apartment for sale in Colombo...,1750,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.64285714
3bed with 2 car parks at On320,3436,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.53571429
Furnished Brand New - 3 Bedrooms At Altair,4075,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.53571429
Beira / Ocean View Luxury Apartment at Capitol...,3435,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.53571429
447 Luna Tower - Type C2 (2 bedrooms),3692,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.42857143
"Altair, 03 Bedroom Unfurnished Appartment for...",2735,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.42857143
"Altair, 03 Bedroom Unfurnished Appartment for...",2367,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.42857143
"On320, 02 Bedroom Fully Furnished Apartment For...",2500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.42857143
"Shangril-La, 02 Bedroom Unfurnished Apartment...",2475,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.42857143
OnThree20 03 Bedroom Furnished Apartment for Sale...,3554,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.42857143
OnThree20 03 BedRoom Furnished Apartment for Sale...,1750,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.21428571
447 Luna Tower 02 Bedroom Unfurnished Apartment...,4408,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.21428571
OnThree20 03 BedRoom Furnished Apartment for Sale...,2663,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.21428571
Apartment for Sale - The Residences at One Galle...,4500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.10714286
Shangri La Apartment 2 Bedroom Furnished Apartment...,2476,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.10714286
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,2475,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,36.10714286
2BR Quality Modern Luxury Living at the Heart...,3252,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.89285714
The One Gall face residence (Shangri-La) For Sale...,1750,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.89285714
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,3197,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.89285714
Move into one of the finest units at Shangri-La...,3633,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.89285714
"Penthouses in Colombo for sale Shangri-La, CCC,...",2386,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.78571429
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",3900,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.67857143
2 Bedroom Apartment for Sale in One Galle Face...,4260,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.67857143
Shangri-la Apartment for Sale,2475,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.57142857
Luxury Apartment For Sale In One Galle Face -...,3009,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.46428571
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,4144,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.46428571
Colombo 1 One Galle Face 4BR Apartment F...,2480,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
Brand New 02 Bedroom Untouched Apartment for sale...,3329,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
Luxury Apartment For Sale in Colombo 1,2800,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
Apartment for Sale in Shangri-la Residence / One...,3500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
CINNAMON LIFE Three Bedroom Apartment for sale...,1750,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
Two bedrooms apartment for sale in Shangri-la...,2450,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
"447 Luna Tower - Union Place, Colombo 02 | Type...",3600,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
447 Luna Tower - Type D (3 bedrooms),2215,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
1 Bedroom Apartment For Sale In Colombo 2 For...,3930,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
Colombo.02 Shangri La 02 Bedroom Apartment For...,4500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
OnThree20 - 04 Bedroom Apartment for Sa...,3009,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.35714286
Altair 4 Bedroom Luxurious Apartment for Sale...,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.25
On320 2 Bedroom Furnished Apartment for ...,3930,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.25
Cinnamon Life 2 Bedroom Luxuriously Furnished...,3300,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.25
Cinnamon Life Fully Furnished 2 Bed Apartment...,2350,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,35.03571429
55 Million value Apartment selling for 50 Million...,2475,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.92857143
Best Price | 2 bedroom large layout | furnished...,3033,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.92857143
Luxury Apartment for Sale in Colombo 2 CA585,2475,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.92857143
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,3309,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
Luxury 4 Bedroom apartment for sale in Colombo...,2500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
3bed with 2 car parks at On320,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
Furnished Brand New - 3 Bedrooms At Altair,2500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
447 Luna Tower - Type D (3 bedrooms),2503,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
447 Luna Tower - Type C2 (2 bedrooms),2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,2396,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
"Altair, 03 Bedroom Unfurnished Appartment for...",3664,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
"Altair, 03 Bedroom Unfurnished Appartment for...",3090,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
"Shangril-La, 02 Bedroom Unfurnished Apartment...",2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
OnThree20 03 BedRoom Furnished Apartment for Sale...,3800,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
447 Luna Tower 02 Bedroom Unfurnished Apartment...,2600,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
Apartment for Sale - The Residences at One Galle...,2780,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
Shangri La Apartment 2 Bedroom Furnished Apartment...,1830,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,2015,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
The One Gall face residence (Shangri-La) For Sale...,2900,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,3700,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
"Penthouses in Colombo for sale Shangri-La, CCC,...",4190,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",2900,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
2 Bedroom Apartment for Sale in One Galle Face...,2350,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
Shangri-la Apartment for Sale,2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.82142857
SHANGRI-LA Two Bedroom Apartment For Sale,1800,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.71428571
Luxury Apartment For Sale in Colombo 1,2990,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.71428571
Apartment for Sale in Shangri-la Residence / One...,2700,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.71428571
CINNAMON LIFE Three Bedroom Apartment for sale...,2475,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.28571429
Two bedrooms apartment for sale in Shangri-la...,2000,4,3,4,1,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.28571429
"447 Luna Tower - Union Place, Colombo 02 - Type...",2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.28571429
447 Luna Tower - Type D (3 bedrooms),2400,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.28571429
1 Bedroom Apartment For Sale In Colombo 2 For...,3520,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.28571429
Colombo.02 Shangri La 02 Bedroom Apartment For...,3500,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.28571429
OnThree20 - 04 Bedroom Apartment for Sa...,3425,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.28571429
Altair 4 Bedroom Luxurious Apartment for Sale...,2367,4,3,4,2,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Dematagoda,3,34.28571429
